Date,Platja,Municipi o comarca,Sexe,Age,Nationality or undocumented,Baywatch (Surveillance),Flag,Morts,Extra info
08/07/2023,Platja del Miracle de Tarragona (Tarragonès,Tarragonès,Home,32,india,Sí,Groga,1,08/07/2023: Platja del Miracle de Tarragona (Tarragonès). Home indi de 32 anys. Platja vigilada i bandera groga per estat de la mar
08/07/2023,Platja de la Rovina de Castelló d’Empúries (Alt Empordà,Alt Empordà,Home,60,cubana,Sí,Groga,1,08/07/2023: Platja de la Rovina de Castelló d’Empúries (Alt Empordà). Home cubà de 60 anys. Platja vigilada i bandera groga per estat de la mar
09/07/2023,Platja de l’Estartit (Baix Empordà,Baix Empordà,Home,65,desconeguda,Sí,Groga,1,09/07/2023: Platja de l’Estartit (Baix Empordà). Home de 65 anys. Platja vigilada i bandera groga per estat de la mar
11/07/2023,Platja llarga de Salou (Tarragonès,Tarragonès,Dona,80,desconeguda,Sí,Verda,1,11/07/2023: Platja llarga de Salou (Tarragonès). Dona de 80 anys. Platja vigilada i bandera verda
12/07/2023,Platja de la Paella de Torredembarra (Tarragonès,Tarragonès,Home,87,espanyola,Sí,Groga,1,12/07/2023: Platja de la Paella de Torredembarra (Tarragonès). Home de 87 anys i nacionalitat espanyola. Platja vigilada i bandera groga per estat de la mar
13/07/2023,Platja d’Altafulla (Tarragonès,Tarragonès,Dona,77,espanyola,Desconegut,Verda,1,13/07/2023: Platja d’Altafulla (Tarragonès). Dona de 77 anys espanyola. Ferida crítica i traslladada a l’hospital Santa tecla de tarragona. Ha mort allà el mateix dia. Bandera verda
20/07/2023,Platja de Sant Gervasi,Garraf,Home,80,espanyola,Desconegut,Verda,1,"20/07/2023: Platja de Sant Gervasi, Vilanova i la Geltrú (Garraf). Home espanyol de 80 anys. RPC infructuosa, èxitus al lloc. Bandera verda"
24/07/2023,Platja Somorrostro ,Barcelona,Dona,88,desconeguda,No havia començat,Desconeguda,1,"24/07/2023: Platja Somorrostro Bcn. Dona de 88 anys. Traslladada en estat critic a l’Hospital del Mar, on ha mort. No havia començat el servei"
26/07/2023,Platja del Miracle ,Tarragona,Home,25,desconeguda,Servei de vigilància finalitzat,Desconeguda,1,26/07/2023: Platja Miracle tarragona. Home d’uns 25 anys. Havia acabat el servei de vigilància.
01/08/2023,Platja del Miracle ,Tarragona,Home,40,italiana,Desconegut,Groga,1,"01/08/2023: Platja del Miracle Tarragona. Home italià de 40 anys. RCP no recuperat, èxitus. Bandera groga"
